file_name,document_title,pages,file_size_bytes,sha256,original_library_upload_date,provenance,repository_status
ROW-602.pdf,,166,83506823,da36c1b9794e9ba7344158ad737a71244eda7b6b7a4490c7e1a0d7e92b1388bb,2026-06-19,user-uploaded during MBZ standards review,pending release
TR-509-1.pdf,Manual title,267,4760502,b757a94e0f85cd9da97d56597a36cbc84100fa6d0b5d23ee9c851a6e089c60b9,2026-06-19,user-uploaded during MBZ standards review,pending release
TR-509-2.pdf,Manual title,185,5334143,9f763c4d3b6f968ccbef975d1637f2b59f55dd2c1c5a59c70cb93b0ba8199659,2026-06-19,user-uploaded during MBZ standards review,pending release
TR-513.pdf,Abu Dhabi DoT Pavement Design Manual,266,14292465,2eafdd184b7f59b7048e407f496eba2451e6abdbb5dc4e6d81ebe1c022addb24,2026-06-19,user-uploaded during MBZ standards review,pending release
TR-516.pdf,A21 - Road Structures Design Manual,222,5278883,4427263d67f48bfc7a10d88dd5fedc9d12a7712df1019d9b68cb2f666598a540,2026-06-19,user-uploaded during MBZ standards review,pending release
TR-542-2.pdf,,712,11887282,c466c98453d3522b9b431d1b1184099918ad7321e3bdf15dcd1dcac5fc92f67c,2026-06-19,user-uploaded during MBZ standards review,pending release
